"country","iso3c","date","gdp_grwth","gdp","gdp_for20_grwth","gdp_forc20","gdp_dollars","gdp_forc20_dollars","gap_dollars","gap_relative"
"Vietnam","VNM",2015,NA,75.96765191574092,NA,75.96765191574092,239258340825.533,239258340825.533,"$0","0.000000%"
"Virgin Islands (U.S.)","VIR",2015,NA,94.6703713058853,NA,94.6703713058853,3663000000,3663000000,"$0","0%"
"West Bank and Gaza","PSE",2015,NA,88.27089519236844,NA,88.27089519236844,13972400000,13972400000,"$0","0%"
"Yemen, Rep.","YEM",2015,NA,NA,NA,NA,42444495590.1077,42444495590.1077,"$0",NA
"Zambia","ZMB",2015,NA,88.21643357028034,NA,88.21643357028034,21251216798.7762,21251216798.7762,"$0","0.000000%"
"Zimbabwe","ZWE",2015,NA,96.80929374210704,NA,96.80929374210704,19963120610,19963120610,"$0","0.00%"
"Afghanistan","AFG",2016,2.3,92.6521274676598,2.3,92.6521274676598,20450177379.3119,20450177379.3119,"$0","0.0%"
"Albania","ALB",2016,3.3000000000000003,90.72023904991188,3.3000000000000003,90.72023904991188,11764322012.1433,11764322012.1433,"$0","0%"
"Algeria","DZA",2016,3.2,96.58032630151088,3.2,96.58032630151088,171290616199.707,171290616199.707,"$0","0.000%"
"American Samoa","ASM",2016,-1.7000000000000002,105.22875816993461,-1.7000000000000002,105.22875816993461,661697709.923664,661697709.923664,"$0","0%"
"Andorra","AND",2016,3.6999999999999997,96.15847685140169,3.6999999999999997,96.15847685140169,2893365390.02848,2893365390.02848,"$0","0%"
"Angola","AGO",2016,-2.6,102.20150970835273,-2.6,102.20150970835273,84969042437.6887,84969042437.6887,"$0","0.000%"
"Antigua and Barbuda","ATG",2016,5.5,86.50163487738448,5.5,86.50163487738448,1410163355.6217,1410163355.6217,"$0","0.0%"
"Argentina","ARG",2016,-2.1,101.91194314609079,-2.1,101.91194314609079,582376550428.09,582376550428.09,"$0","0.00%"
"Armenia","ARM",2016,0.2,82.1795056805434,0.2,82.1795056805434,10574444348.3148,10574444348.3148,"$0","0.00%"
